Восход;Зенит;Закат;Долгота дня;;Начало астрономических сумерек;Начало навигационных сумерек;Начало гражданских сумерек;Конец гражданских сумерек;Конец навигационных сумерек;Конец астрономических сумерек
06.10;06:49;12:27;18:05;11:15:13;−4:24;04:49;05:32;06:13;18:40;19:22;20:05
07.10;06:51;12:27;18:02;11:10:50;−4:23;04:51;05:34;06:15;18:38;19:20;20:02
08.10;06:53;12:26;18:00;11:06:27;−4:23;04:53;05:36;06:17;18:35;19:17;20:00
09.10;06:55;12:26;17:57;11:02:04;−4:23;04:55;05:37;06:19;18:33;19:15;19:57
10.10;06:57;12:26;17:55;10:57:41;−4:23;04:57;05:39;06:21;18:31;19:12;19:54
11.10;06:59;12:25;17:52;10:53:19;−4:22;04:59;05:41;06:23;18:28;19:10;19:52
12.10;07:01;12:25;17:50;10:48:57;−4:22;05:01;05:43;06:25;18:26;19:07;19:49
13.10;07:03;12:25;17:47;10:44:35;−4:22;05:03;05:45;06:26;18:23;19:05;19:47
14.10;07:05;12:25;17:45;10:40:14;−4:21;05:05;05:47;06:28;18:21;19:03;19:45
15.10;07:07;12:24;17:42;10:35:53;−4:21;05:07;05:49;06:30;18:19;19:00;19:42
16.10;07:08;12:24;17:40;10:31:33;−4:20;05:09;05:50;06:32;18:16;18:58;19:40
17.10;07:10;12:24;17:38;10:27:12;−4:21;05:11;05:52;06:34;18:14;18:56;19:38
18.10;07:12;12:24;17:35;10:22:53;−4:19;05:12;05:54;06:36;18:12;18:54;19:35
19.10;07:14;12:24;17:33;10:18:34;−4:19;05:14;05:56;06:38;18:10;18:51;19:33
20.10;07:16;12:23;17:31;10:14:15;−4:19;05:16;05:58;06:40;18:07;18:49;19:31
21.10;07:18;12:23;17:28;10:09:58;−4:17;05:18;06:00;06:41;18:05;18:47;19:29
22.10;07:20;12:23;17:26;10:05:42;−4:16;05:20;06:02;06:43;18:03;18:45;19:26
23.10;07:22;12:23;17:24;10:01:25;−4:17;05:22;06:03;06:45;18:01;18:43;19:24
24.10;07:24;12:23;17:21;09:57:09;−4:16;05:24;06:05;06:47;17:59;18:41;19:22
25.10;07:26;12:23;17:19;09:52:55;−4:14;05:25;06:07;06:49;17:56;18:38;19:20
26.10;07:28;12:23;17:17;09:48:42;−4:13;05:27;06:09;06:51;17:54;18:36;19:18
27.10;07:30;12:23;17:15;09:44:29;−4:13;05:29;06:11;06:53;17:52;18:34;19:16
28.10;07:32;12:22;17:13;09:40:18;−4:11;05:31;06:13;06:55;17:50;18:32;19:14
29.10;07:34;12:22;17:10;09:36:08;−4:10;05:33;06:14;06:57;17:48;18:31;19:12
30.10;07:36;12:22;17:08;09:31:59;−4:09;05:35;06:16;06:58;17:46;18:29;19:10
31.10;07:38;12:22;17:06;09:27:51;−4:08;05:36;06:18;07:00;17:44;18:27;19:08
01.11;07:40;12:22;17:04;09:23:45;−4:06;05:38;06:20;07:02;17:42;18:25;19:07
02.11;07:42;12:22;17:02;09:19:40;−4:05;05:40;06:22;07:04;17:40;18:23;19:05
03.11;07:44;12:22;17:00;09:15:36;−4:04;05:42;06:23;07:06;17:39;18:21;19:03
04.11;07:47;12:22;16:58;09:11:35;−4:01;05:43;06:25;07:08;17:37;18:20;19:01
05.11;07:49;12:22;16:56;09:07:35;−4:00;05:45;06:27;07:10;17:35;18:18;19:00
06.11;07:51;12:22;16:54;09:03:36;−3:59;05:47;06:29;07:12;17:33;18:16;18:58
07.11;07:53;12:22;16:52;08:59:40;−3:56;05:49;06:30;07:14;17:31;18:14;18:56
08.11;07:55;12:23;16:50;08:55:46;−3:54;05:50;06:32;07:15;17:30;18:13;18:55
09.11;07:57;12:23;16:49;08:51:54;−3:52;05:52;06:34;07:17;17:28;18:11;18:53
10.11;07:59;12:23;16:47;08:48:04;−3:50;05:54;06:36;07:19;17:26;18:10;18:52
11.11;08:01;12:23;16:45;08:44:17;−3:47;05:55;06:37;07:21;17:25;18:08;18:50
12.11;08:03;12:23;16:43;08:40:32;−3:45;05:57;06:39;07:23;17:23;18:07;18:49
13.11;08:05;12:23;16:41;08:36:49;−3:43;05:59;06:41;07:25;17:22;18:05;18:48
14.11;08:07;12:23;16:40;08:33:10;−3:39;06:00;06:42;07:26;17:20;18:04;18:46
15.11;08:09;12:23;16:38;08:29:34;−3:36;06:02;06:44;07:28;17:19;18:03;18:45
16.11;08:11;12:24;16:37;08:26:00;−3:34;06:03;06:46;07:30;17:17;18:01;18:44
17.11;08:13;12:24;16:35;08:22:30;−3:30;06:05;06:47;07:32;17:16;18:00;18:43
18.11;08:14;12:24;16:34;08:19:03;−3:27;06:07;06:49;07:33;17:14;17:59;18:41
19.11;08:16;12:24;16:32;08:15:39;−3:24;06:08;06:51;07:35;17:13;17:58;18:40
20.11;08:18;12:24;16:31;08:12:19;−3:20;06:10;06:52;07:37;17:12;17:57;18:39
21.11;08:20;12:25;16:29;08:09:03;−3:16;06:11;06:54;07:39;17:11;17:56;18:38
22.11;08:22;12:25;16:28;08:05:51;−3:12;06:13;06:55;07:40;17:10;17:54;18:37
23.11;08:24;12:25;16:27;08:02:43;−3:08;06:14;06:57;07:42;17:08;17:53;18:36
24.11;08:26;12:26;16:25;07:59:39;−3:04;06:16;06:58;07:44;17:07;17:53;18:35
25.11;08:27;12:26;16:24;07:56:39;−3:00;06:17;07:00;07:45;17:06;17:52;18:35
26.11;08:29;12:26;16:23;07:53:45;−2:54;06:18;07:01;07:47;17:05;17:51;18:34
27.11;08:31;12:26;16:22;07:50:55;−2:50;06:20;07:03;07:48;17:04;17:50;18:33
28.11;08:33;12:27;16:21;07:48:09;−2:46;06:21;07:04;07:50;17:04;17:49;18:32
29.11;08:34;12:27;16:20;07:45:30;−2:39;06:22;07:06;07:51;17:03;17:49;18:32
30.11;08:36;12:27;16:19;07:42:54;−2:36;06:24;07:07;07:53;17:02;17:48;18:31
01.12;08:38;12:28;16:18;07:40:25;−2:29;06:25;07:08;07:54;17:01;17:47;18:31
02.12;08:39;12:28;16:17;07:38:02;−2:23;06:26;07:10;07:56;17:01;17:47;18:30
03.12;08:41;12:29;16:16;07:35:44;−2:18;06:27;07:11;07:57;17:00;17:46;18:30
04.12;08:42;12:29;16:16;07:33:31;−2:13;06:29;07:12;07:59;16:59;17:46;18:29
05.12;08:44;12:29;16:15;07:31:25;−2:06;06:30;07:13;08:00;16:59;17:45;18:29
06.12;08:45;12:30;16:14;07:29:26;−1:59;06:31;07:15;08:01;16:58;17:45;18:29
07.12;08:46;12:30;16:14;07:27:32;−1:54;06:32;07:16;08:02;16:58;17:45;18:28
08.12;08:48;12:31;16:13;07:25:45;−1:47;06:33;07:17;08:04;16:58;17:44;18:28
09.12;08:49;12:31;16:13;07:24:05;−1:40;06:34;07:18;08:05;16:57;17:44;18:28
10.12;08:50;12:31;16:13;07:22:31;−1:34;06:35;07:19;08:06;16:57;17:44;18:28
11.12;08:51;12:32;16:12;07:21:05;−1:26;06:36;07:20;08:07;16:57;17:44;18:28
12.12;08:52;12:32;16:12;07:19:46;−1:19;06:37;07:21;08:08;16:57;17:44;18:28
13.12;08:54;12:33;16:12;07:18:33;−1:13;06:38;07:22;08:09;16:57;17:44;18:28
14.12;08:55;12:33;16:12;07:17:28;−1:05;06:39;07:23;08:10;16:57;17:44;18:28
15.12;08:55;12:34;16:12;07:16:31;−0:57;06:39;07:24;08:11;16:57;17:44;18:28
16.12;08:56;12:34;16:12;07:15:41;−0:50;06:40;07:24;08:11;16:57;17:44;18:28
17.12;08:57;12:35;16:12;07:14:58;−0:43;06:41;07:25;08:12;16:57;17:44;18:28
18.12;08:58;12:35;16:12;07:14:23;−0:35;06:42;07:26;08:13;16:57;17:45;18:29
19.12;08:59;12:36;16:13;07:13:55;−0:28;06:42;07:26;08:14;16:58;17:45;18:29
20.12;08:59;12:36;16:13;07:13:35;−0:20;06:43;07:27;08:14;16:58;17:45;18:29
21.12;09:00;12:37;16:13;07:13:23;−0:12;06:43;07:28;08:15;16:58;17:46;18:30
22.12;09:00;12:37;16:14;07:13:19;−0:04;06:44;07:28;08:15;16:59;17:46;18:30
23.12;09:01;12:38;16:14;07:13:22;+0:03;06:44;07:29;08:16;16:59;17:47;18:31
24.12;09:01;12:38;16:15;07:13:34;+0:12;06:45;07:29;08:16;17:00;17:47;18:31
25.12;09:02;12:39;16:15;07:13:52;+0:18;06:45;07:29;08:17;17:01;17:48;18:32
26.12;09:02;12:39;16:16;07:14:19;+0:27;06:45;07:30;08:17;17:01;17:48;18:33
27.12;09:02;12:39;16:17;07:14:53;+0:34;06:46;07:30;08:17;17:02;17:49;18:33
28.12;09:02;12:40;16:18;07:15:36;+0:43;06:46;07:30;08:17;17:03;17:50;18:34
29.12;09:02;12:40;16:19;07:16:25;+0:49;06:46;07:30;08:17;17:04;17:51;18:35
30.12;09:02;12:41;16:20;07:17:22;+0:57;06:46;07:30;08:17;17:04;17:51;18:35
31.12;09:02;12:41;16:21;07:18:26;+1:04;06:46;07:30;08:17;17:05;17:52;18:36
